,source,target,size,perplexity,scratch_perplexity,dt,de,df,fraction_of_effective_dt,dt_formatted,df_formatted,de_formatted
0,en,ar,0,2.8077964662294903,11.096857942459296,114633942.53173234,114633942.53173234,0,1.0,109.32 MB,0.00 MB,109.32 MB
1,en,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
2,en,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
3,en,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
4,en,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
5,en,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
6,en,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
7,pt,ar,0,2.829782914342543,11.096857942459296,110768124.36979002,110768124.36979002,0,1.0,105.64 MB,0.00 MB,105.64 MB
8,pt,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
9,pt,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
10,pt,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
11,pt,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
12,pt,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
13,pt,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
14,ko,ar,0,2.8340307738121853,11.096857942459296,110021234.64013998,110021234.64013998,0,1.0,104.92 MB,0.00 MB,104.92 MB
15,ko,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
16,ko,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
17,ko,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
18,ko,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
19,ko,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
20,ko,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
21,ja,ar,0,2.865663753648639,11.096857942459296,104459292.69575101,104459292.69575101,0,1.0,99.62 MB,0.00 MB,99.62 MB
22,ja,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
23,ja,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
24,ja,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
25,ja,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
26,ja,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
27,ja,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
28,de,ar,0,2.913339448428357,11.096857942459296,96076603.24018425,96076603.24018425,0,1.0,91.63 MB,0.00 MB,91.63 MB
29,de,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
30,de,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
31,de,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
32,de,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
33,de,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
34,de,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
35,zh,ar,0,2.927649843561027,11.096857942459296,93560444.8719026,93560444.8719026,0,1.0,89.23 MB,0.00 MB,89.23 MB
36,zh,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
37,zh,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
38,zh,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
39,zh,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
40,zh,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
41,zh,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
42,es,ar,0,2.9511649774310817,11.096857942459296,89425841.99617046,89425841.99617046,0,1.0,85.28 MB,0.00 MB,85.28 MB
43,es,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
44,es,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
45,es,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
46,es,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
47,es,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
48,es,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
49,ru,ar,0,2.960623831453743,11.096857942459296,87762717.08013375,87762717.08013375,0,1.0,83.70 MB,0.00 MB,83.70 MB
50,ru,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
51,ru,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
52,ru,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
53,ru,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
54,ru,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
55,ru,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
56,id,ar,0,2.984403815213969,11.096857942459296,83581546.3590476,83581546.3590476,0,1.0,79.71 MB,0.00 MB,79.71 MB
57,id,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
58,id,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
59,id,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
60,id,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
61,id,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
62,id,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
63,fi,ar,0,3.0373942705151613,11.096857942459296,74264376.82535978,74264376.82535978,0,1.0,70.82 MB,0.00 MB,70.82 MB
64,fi,ar,6000000,,6.465245595637785,,,6000000,,nan MB,5.72 MB,nan MB
65,fi,ar,19000000,,5.398601831758907,,,19000000,,nan MB,18.12 MB,nan MB
66,fi,ar,60000000,,3.1185214647591417,,,60000000,,nan MB,57.22 MB,nan MB
67,fi,ar,189000000,,2.3848470683517466,,,189000000,,nan MB,180.24 MB,nan MB
68,fi,ar,600000000,,2.1082158055741704,,,600000000,,nan MB,572.20 MB,nan MB
69,fi,ar,6000000000,,1.9296294699431513,,,6000000000,,nan MB,"5,722.05 MB",nan MB
